current x
"(-1.2, 1)"
"(214.4, 88.99999999999999)"
"(-0.9587479997312869, 104.44395678683793)"
"(-57.77968263600761, -24204.379758212162)"
"(-1.047476695752927, 23.22480636851469)"
"(-1.0664682100559448, 5.873829216795919)"
"(-1.0716428077248419, 1.148065846658067)"
"(-1.0716421981179065, 1.148439640089958)"
"(-1.0716419745103896, 1.1484501895497803)"
"(-1.0716267299788915, 1.1488038711358364)"
"(-1.071596016770165, 1.149135419351084)"
"(-1.0714907612390274, 1.149693515470122)"
"(-1.0712201209018615, 1.1502944410915954)"
"(-1.0704714454814586, 1.1506546957590298)"
"(-1.0684945260111003, 1.1495685374671742)"
"(-1.0632136242265806, 1.143416554740295)"
"(-1.0489165812001822, 1.121519537060675)"
"(-1.0056316045177842, 1.0464301254656194)"
"(-0.6991297016091147, 0.4935479466006001)"
"(-1.560370975405264, 2.030666054807574)"
"(-0.6668863733062991, 0.43256450680976055)"
"(-0.6494428815373428, 0.4021406248209091)"
"(-0.6021360882478007, 0.3263729933356007)"
"(-0.5792500934193027, 0.29735021643034515)"
"(-0.42427075972357986, 0.13120601586586922)"
"(-0.3629357748297472, 0.10777912852763809)"
"(-0.17805344105073334, -0.021558738670983665)"
"(-0.14043357933798797, 0.01984693584377594)"
"(0.03811531671803567, -0.03704800203510237)"
"(0.038078544021007604, -0.011238455702714867)"
"(0.1887250237788319, 0.012927740086019237)"
"(0.29268441576383786, 0.05953861748894537)"
"(0.3833040354038848, 0.15871575662442733)"
"(0.6679793717992237, 0.3400977915572607)"
"(0.4108142278900812, 0.17598759435526293)"
"(0.43966459910011796, 0.19786283478356603)"
"(2.1940246293242596, 1.5893858853481952)"
"(0.44025709627928444, 0.1972052259749093)"
"(0.44095830461152374, 0.1970829179791685)"
"(0.4522789782356427, 0.19916537202519122)"
"(0.4600773868931323, 0.20402620525668602)"
"(0.5089143811687245, 0.2416468353646028)"
"(0.5356400563586458, 0.26914291328191386)"
"(0.6275600648239674, 0.38153702038969933)"
"(0.6864763885450421, 0.4662929334630517)"
"(0.8243494995807005, 0.6450809375688723)"
"(0.7601859872862912, 0.5817931326182664)"
"(0.7975746862668167, 0.6360720615806117)"
"(0.9966392464813137, 0.9386795870378073)"
"(0.8170942049050893, 0.6683283046942459)"
"(0.8331804504153525, 0.6946186264353211)"
"(1.0193373892405213, 1.000084334420055)"
"(0.8548667382292734, 0.7318319815572276)"
"(0.8719871944462927, 0.7609906341601848)"
"(1.021785587167389, 1.0172637330070486)"
"(0.8935428653793174, 0.7989611515039395)"
"(0.9096723533886438, 0.827385515114575)"
"(0.9934781147404036, 0.9762100377380288)"
"(0.9373828063957294, 0.8776189235096894)"
"(0.9504317481027905, 0.9015690875909089)"
"(0.9781787278723365, 0.9534663541968089)"
"(0.9775637485108526, 0.9533451979172136)"
"(0.9892712390110588, 0.9785035472972762)"
"(0.9967575675306356, 0.9934498212359508)"
"(0.9998734013973793, 0.9997120708374252)"
"(0.9999880496624657, 0.9999756196612158)"
"(1.0000000640928561, 1.0000001229195883)"
"(0.9999999998529494, 0.999999999743084)"
"(0.9999999999998613, 0.999999999999706)"
