current x
"(0.5, 0.5)"
"(-0.9999988750014062, -0.9999988750014059)"
"(-4.000003375005907, -4.000003375005906)"
"(-8.258071562692244, -8.258071562692244)"
"(-16.638106261774464, -16.638106261774464)"
"(-33.33639630595071, -33.33639630595071)"
"(-66.70287255063442, -66.70287255063442)"
"(-133.42094628342227, -133.42094628342227)"
"(-266.8492930320598, -266.8492930320598)"
"(-533.7017909167096, -533.7017909167096)"
"(-1067.4048321593693, -1067.4048321593693)"
"(-2134.8106487149853, -2134.8106487149853)"
"(-4269.618993288957, -4269.618993288957)"
"(-8539.239222799155, -8539.239222799155)"
"(-17078.45861356271, -17078.45861356271)"
"(-34156.91008939454, -34156.91008939454)"
"(-68313.89125724096, -68313.89125724096)"
"(-136627.7796349167, -136627.7796349167)"
"(-273255.74305093393, -273255.74305093393)"
"(-546511.6698774791, -546511.6698774791)"
"(-1093024.3396751755, -1093024.3396751755)"
"(-2186048.595704994, -2186048.595704994)"
"(-4372097.33003669, -4372097.33003669)"
"(-8744190.62001679, -8744190.62001679)"
"(-17488398.715684578, -17488398.715684578)"
"(-34976807.22548997, -34976807.22548997)"
"(-69953667.03496113, -69953667.03496113)"
"(-139907472.23383367, -139907472.23383367)"
"(-279814965.0060948, -279814965.0060948)"
"(-559629402.838854, -559629402.838854)"
"(-1119259844.4298344, -1119259844.4298344)"
"(-2238519624.2729664, -2238519624.2729664)"
"(-4477041988.250076, -4477041988.250076)"
"(-8954086716.204296, -8954086716.204296)"
"(-17908194119.63261, -17908194119.63261)"
"(-35816376856.19115, -35816376856.19115)"
"(-71632765302.1533, -71632765302.1533)"
"(-143265634085.63477, -143265634085.63477)"
"(-286531166402.2949, -286531166402.2949)"
"(-573061054828.6884, -573061054828.6884)"
"(-1146119890721.3413, -1146119890721.3413)"
"(-2292239805810.823, -2292239805810.823)"
"(-4584482263171.662, -4584482263171.662)"
"(-9168966304584.543, -9168966304584.543)"
"(-18337937880638.15, -18337937880638.15)"
"(-36675906277018.43, -36675906277018.43)"
"(-73351867736583.39, -73351867736583.39)"
"(-146703817633277.62, -146703817633277.62)"
"(-293407616910569.1, -293407616910569.1)"
"(-586815846938117.4, -586815846938117.4)"
"(-1173630585230128.5, -1173630585230128.5)"
"(-2347261200063992, -2347261200063992)"
"(-4694522908052973, -4694522908052973)"
"(-9389046324030936, -9389046324030936)"
"(-1.877805177194081e+16, -1.877805177194081e+16)"
"(-3.755613319086568e+16, -3.755613319086568e+16)"
"(-7.511225199135146e+16, -7.511225199135146e+16)"
"(-1.5022438364943312e+17, -1.5022438364943312e+17)"
"(-3.0044870313092563e+17, -3.0044870313092563e+17)"
"(-6.008991495151681e+17, -6.008991495151681e+17)"
"(-1.2017975163506998e+18, -1.2017975163506998e+18)"
"(-2.4035945349924936e+18, -2.4035945349924936e+18)"
"(-4.80719493246898e+18, -4.80719493246898e+18)"
"(-9.614395727421952e+18, -9.614395727421952e+18)"
"(-1.9228841753563087e+19, -1.9228841753563087e+19)"
"(-3.845769397981967e+19, -3.845769397981967e+19)"
"(-7.691539843233284e+19, -7.691539843233284e+19)"
"(-1.538306935800546e+20, -1.538306935800546e+20)"
"(-3.076612838754981e+20, -3.076612838754981e+20)"
"(-6.153236657924662e+20, -6.153236657924662e+20)"
"(-1.2306465365116605e+21, -1.2306465365116605e+21)"
"(-2.461292860539963e+21, -2.461292860539963e+21)"
"(-4.922588537577863e+21, -4.922588537577863e+21)"
"(-9.84516777572849e+21, -9.84516777572849e+21)"
"(-1.969037471573043e+22, -1.969037471573043e+22)"
"(-3.938074862432366e+22, -3.938074862432366e+22)"
"(-7.876149644151013e+22, -7.876149644151013e+22)"
"(-1.575230579509113e+23, -1.575230579509113e+23)"
"(-3.150462710048113e+23, -3.150462710048113e+23)"
"(-6.300942606029294e+23, -6.300942606029294e+23)"
"(-1.2601875204083106e+24, -1.2601875204083106e+24)"
"(-2.520375802335723e+24, -2.520375802335723e+24)"
"(-5.040757195143636e+24, -5.040757195143636e+24)"
"(-1.0081513576668087e+25, -1.0081513576668087e+25)"
"(-2.0163036586260584e+25, -2.0163036586260584e+25)"
"(-4.032610326431061e+25, -4.032610326431061e+25)"
"(-8.065212252169312e+25, -8.065212252169312e+25)"
"(-1.6130429219248598e+26, -1.6130429219248598e+26)"
"(-3.226086818753912e+26, -3.226086818753912e+26)"
"(-6.452172933614663e+26, -6.452172933614663e+26)"
"(-1.2904372693822483e+27, -1.2904372693822483e+27)"
"(-2.580874858263847e+27, -2.580874858263847e+27)"
"(-5.161744771006137e+27, -5.161744771006137e+27)"
"(-1.0323484596490716e+28, -1.0323484596490716e+28)"
"(-2.064696974855101e+28, -2.064696974855101e+28)"
"(-4.129396136754342e+28, -4.129396136754342e+28)"
"(-8.25879297600924e+28, -8.25879297600924e+28)"
"(-1.6517586654519037e+29, -1.6517586654519037e+29)"
"(-3.3035151479034495e+29, -3.3035151479034495e+29)"
"(-6.607033569415586e+29, -6.607033569415586e+29)"
"(-1.3214070412439858e+30, -1.3214070412439858e+30)"
